nazwa;wojewodztwo;powiat;gmina;miejscowosc;ulica;budynek;latitude;longitude
JRG nr 1 Tarnów;MAŁOPOLSKIE;Tarnów;Tarnów;Tarnów;Klikowska;39;50.02176;20.97365
OSP Murzasichle;MAŁOPOLSKIE;tatrzański;Poronin;Murzasichle;Sądelska;55;49.3120765;20.0432462
JRG nr 2 Tarnów;MAŁOPOLSKIE;Tarnów;Tarnów;Tarnów;Błonie;2A;50.0358;21.01021
OSP Chojnik;MAŁOPOLSKIE;tarnowski;Gromnik;Chojnik;;235;49.8556982;20.9691767787837
OSP Ciężkowice;MAŁOPOLSKIE;tarnowski;Ciężkowice;Ciężkowice;św. Floriana;4;49.7843338;20.9724533
OSP Filipowice;MAŁOPOLSKIE;tarnowski;Zakliczyn;Filipowice;;163;50.14925375;19.566550970597483
OSP Gromnik;MAŁOPOLSKIE;tarnowski;Gromnik;Gromnik;Krynicka;10;49.83642905;20.960667968166916
OSP Gwoździec;MAŁOPOLSKIE;tarnowski;Zakliczyn;Gwoździec;;272;49.8842068;20.7769744
OSP Jadowniki Mokre;MAŁOPOLSKIE;tarnowski;Wietrzychowice;Jadowniki Mokre;;338;50.165069450000004;20.728062393750925
OSP Koszyce Małe;MAŁOPOLSKIE;tarnowski;Tarnów;Koszyce Małe;Główna;29;49.9688906;20.946884930447688
OSP Lisia Góra;MAŁOPOLSKIE;tarnowski;Lisia Góra;Lisia Góra;Mielecka;7;50.081673249999994;21.0468338
OSP Lubcza;MAŁOPOLSKIE;tarnowski;Ryglice;Lubcza;;460;49.9059957;21.2541858
Ochotnicza Straż Pożarna w Dziebałtowie;ŚWIĘTOKRZYSKIE;konecki;Końskie;Końskie;;9;49.65518455;22.2298047853818
Ochotnicza Straż Pożarna w  Bielinach;ŚWIĘTOKRZYSKIE;kielecki;Bieliny;Bieliny;Żeromskiego;2;50.849194999999995;20.941994762849653
Ochotnicza Straż Pożarna w Modliszewicach;ŚWIĘTOKRZYSKIE;konecki;Końskie;Modliszewice;Franciszka Gasińskiego;1;51.205765400000004;20.36707420155677
Ochotnicza Straż Pożarna w  Lechowie;ŚWIĘTOKRZYSKIE;kielecki;Bieliny;Lechów;;66b;50.805576;20.998111129938813
Ochotnicza Straż Pożarna w Czermnie;ŚWIĘTOKRZYSKIE;konecki;Fałków;Czermno;Zasadzie;45;51.11048875;20.035396051714528
OSP Kościelisko;MAŁOPOLSKIE;tatrzański;Kościelisko;Kościelisko;Rysulówka;2;49.2892047;19.8866125
Ochotnicza Straż Pożarna w Rykoszynie;ŚWIĘTOKRZYSKIE;kielecki;Piekoszów;Rykoszyn;Zacisze;2;50.86267385;20.40956768248731
Ochotnicza Straż Pożarna w Kołońcu;ŚWIĘTOKRZYSKIE;konecki;Ruda Maleniecka;Kołoniec;;34;51.1815901;20.1463933
Ochotnicza Straż Pożarna w Piekoszowie;ŚWIĘTOKRZYSKIE;kielecki;Piekoszów;Piekoszów;Częstochowska;85a;50.8846354;20.4609327
OSP Gliczarów Górny;MAŁOPOLSKIE;tatrzański;Biały Dunajec;Gliczarów Górny;Wierchy;75;49.349652;20.052965
Ochotnicza Straż Pożarna w Starej Słupi;ŚWIĘTOKRZYSKIE;kielecki;Nowa Słupia;Stara Słupia;;25a;50.8802631;21.0945156
Ochotnicza Straż Pożarna w Mirocicach;ŚWIĘTOKRZYSKIE;kielecki;Nowa Słupia;Mirocice;;54;50.88454;21.04363
Wdeckie Wodne Ochotnicze Pogotowie Ratunkowe;KUJAWSKO-POMORSKIE;świecki;Osie;Tleń;Czerska;4;53.6195616;18.2686641
Ochotnicza Straż Pożarna w Nowej Słupi;ŚWIĘTOKRZYSKIE;kielecki;Nowa Słupia;Nowa Słupia;Kielecka;25;50.85909;21.08873
Ochotnicza Straż Pożarna w Bilczy;ŚWIĘTOKRZYSKIE;kielecki;Morawica;Bilcza;Kielecka;25;50.7861824;20.6196025
Ochotnicza Straż Pożarna w Brudzowie;ŚWIĘTOKRZYSKIE;kielecki;Morawica;Brudzów;Floriańska;27;50.7212944;20.6736595
OSP Łęg Tarnowski;MAŁOPOLSKIE;tarnowski;Żabno;Łęg Tarnowski;Sportowa;7;50.094011699999996;20.926797539096576
Ochotnicza Straż Pożarna w Woli Morawickiej;ŚWIĘTOKRZYSKIE;kielecki;Morawica;Wola Morawicka;Podemłynie;3;50.7317162;20.6436377
OSP Łętowice;MAŁOPOLSKIE;tarnowski;Wierzchosławice;Łętowice;;372;49.997207849999995;20.841241953697367
Ochotnicza Straż Pożarna w Morawicy;ŚWIĘTOKRZYSKIE;kielecki;Morawica;Morawica;Pińczowska;20;50.744283550000006;20.615978584633957
OSP Łukowa;MAŁOPOLSKIE;tarnowski;Lisia Góra;Łukowa;;85B;51.7187521;19.4497071
OSP Niedomice;MAŁOPOLSKIE;tarnowski;Żabno;Niedomice;Niedomicka;4;50.1105177;20.8943502
OSP Pleśna;MAŁOPOLSKIE;tarnowski;Pleśna;Pleśna;;240;49.9228313;20.9448336
Ochotnicza Straż Pożarna w Zaborowicach;ŚWIĘTOKRZYSKIE;kielecki;Mniów;Zaborowice;;148;51.03553695;20.478091807151955
Ochotnicza Straż Pożarna w Mniowie;ŚWIĘTOKRZYSKIE;kielecki;Mniów;Mniów;Centralna;5;51.0118717;20.48220882255639
Ochotnicza Straż Pożarna w Łopusznie;ŚWIĘTOKRZYSKIE;kielecki;Łopuszno;Łopuszno;Strażacka;4;50.9470951;20.2515267
OSP Radłów;MAŁOPOLSKIE;tarnowski;Radłów;Radłów;Tadeusza Kościuszki;7;50.0840381;20.84802967000317
Ochotnicza Straż Pożarna w Bodzentynie;ŚWIĘTOKRZYSKIE;kielecki;Bodzentyn;Bodzentyn;Rynek Górny;11;50.940955599999995;20.95424266926493
OSP Ryglice;MAŁOPOLSKIE;tarnowski;Ryglice;Ryglice;Tarnowska;15;49.8801334;21.137119982977396
Ochotnicza Straż Pożarna w Chęcinach;ŚWIĘTOKRZYSKIE;kielecki;Chęciny;Chęciny;Szkolna;18;50.754137150000005;20.4688411606044
Ochotnicza Straż Pożarna w Wolicy;ŚWIĘTOKRZYSKIE;kielecki;Chęciny;Wolica;Kolejowa;2;50.75175545;20.47944854079879
Ochotnicza Straż Pożarna Piotrkowice;ŚWIĘTOKRZYSKIE;kielecki;Chmielnik;Piotrkowice;Rynek;7;50.666615;20.6647441
Ochotnicza Straż Pożarna w Sędziejowicach;ŚWIĘTOKRZYSKIE;kielecki;Chmielnik;Sędziejowice;Sędziejowice;63;51.5115803;19.0273793
Ochotnicza Straż Pożarna w Daleszycach;ŚWIĘTOKRZYSKIE;kielecki;Daleszyce;Daleszyce;Staszica;8;50.8019;20.80602
Ochotnicza Straż Pożarna w Niestachowie;ŚWIĘTOKRZYSKIE;kielecki;Daleszyce;Niestachów;Niestachów;108;50.82444;20.74076
Ochotnicza Straż Pożarna w Smykowie;ŚWIĘTOKRZYSKIE;kielecki;Daleszyce;Smyków;Smyków;48;51.05064;20.3991412
Ochotnicza Straż Pożarna w Sukowie;ŚWIĘTOKRZYSKIE;kielecki;Daleszyce;Suków;;279;50.8127524;20.6891356
Ochotnicza Straż Pożarna w Górnie;ŚWIĘTOKRZYSKIE;kielecki;Górno;Górno;;79A;50.84837975;20.821852335607616
OSP Pogórska Wola;MAŁOPOLSKIE;tarnowski;Skrzyszów;Pogórska Wola;;78A;50.0127725;21.15390480821739
Ochotnicza Straż Pożarna w Leszczynach;ŚWIĘTOKRZYSKIE;kielecki;Górno;Leszczyny;;34;50.8717297;20.769122175151146
OSP Rzepiennik Strzyżewski;MAŁOPOLSKIE;tarnowski;Rzepiennik Strzyżewski;Rzepiennik Strzyżewski;;404;49.79760715;21.04921323349095
Komenda Powiatowa Państwowej Straży Pożarnej w Skarżysku-Kamiennej;ŚWIĘTOKRZYSKIE;skarżyski;Skarżysko-Kamienna;Skarżysko-Kamienna;1 Maja;101;51.11873515;20.8991534006727
Ochotnicza Straż Pożarna w Woli Jachowej;ŚWIĘTOKRZYSKIE;kielecki;Górno;Wola Jachowa;;136B;50.8487515;20.8693661
OSP Rzuchowa;MAŁOPOLSKIE;tarnowski;Pleśna;Rzuchowa;;168A;49.95141945;20.93663375123215
Ochotnicza Straż Pożarna w Łącznej;ŚWIĘTOKRZYSKIE;skarżyski;Łączna;Kamionki;;60;53.4091636;19.5668689
OSP Siedliska;MAŁOPOLSKIE;tarnowski;Tuchów;Siedliska;;232A;50.642107;20.5824911
Ochotnicza Straż Pożarna w Łagowie;ŚWIĘTOKRZYSKIE;kielecki;Łagów;Łagów;Rynek;68A;50.7771398;21.0823836
OSP Skrzyszów;MAŁOPOLSKIE;tarnowski;Skrzyszów;Skrzyszów;;335;49.9952679;21.0537884
Ochotnicza Straż Pożarna w Masłowie;ŚWIĘTOKRZYSKIE;kielecki;Masłów;Masłów Pierwszy;Ksiedza J. Marszałka;30;50.91028;20.73722
Ochotnicza Straż Pożarna w Mąchocicach Kapitulnych;ŚWIĘTOKRZYSKIE;kielecki;Masłów;Mąchocice Kapitulne;;38a;50.890434;20.7687927
Ochotnicza Straż Pożarna w Lipowym Polu Plebańskim;ŚWIĘTOKRZYSKIE;skarżyski;Skarżysko Kościelne;Lipowe Pole Plebańskie;;22A;51.1577083;20.89797
Ochotnicza Straż Pożarna w Ciekotach;ŚWIĘTOKRZYSKIE;kielecki;Masłów;Ciekoty;;21;50.914124099999995;20.810107576600284
Ochotnicza Straż Pożarna w Bliżynie;ŚWIĘTOKRZYSKIE;skarżyski;Bliżyn;Bliżyn;Szkolna;3;51.10586475;20.761863205178326
Ochotnicza Straż Pożarna w Sorbinie;ŚWIĘTOKRZYSKIE;skarżyski;Bliżyn;Sorbin;;116;51.10084965;20.6825662856508
Ochotnicza Straż Pożarna w Ćmińsku;ŚWIĘTOKRZYSKIE;kielecki;Miedziana Góra;Ćmińsk;Strażacka;2;50.9829655;20.5586342
Ochotnicza Straż Pożarna w Suchedniowie;ŚWIĘTOKRZYSKIE;skarżyski;Suchedniów;Suchedniów;Kielecka;11;51.0488768;20.83016884244114
Ochotnicza Straż Pożarna w Skarżysku-Kamiennej;ŚWIĘTOKRZYSKIE;skarżyski;Skarżysko-Kamienna;Skarżysko-Kamienna;Warszawska;283;51.1532683;20.857438886350444
Ochotnicza Straż Pożarna w Grzymałkowie;ŚWIĘTOKRZYSKIE;kielecki;Mniów;Grzymałków;Majowa;1;51.0073869;20.3920008
Ochotnicza Straż Pożarna w Grzybowej Górze;ŚWIĘTOKRZYSKIE;skarżyski;Skarżysko Kościelne;Grzybowa Góra;Świętokrzyska;100;51.1324542;20.9552732
Ochotnicza Straż Pożarna w Ostrężnicy;MAŁOPOLSKIE;krakowski;Krzeszowice;Ostrężnica;;308;50.1934256;19.5680756
OSP Dzianisz Górny;MAŁOPOLSKIE;tatrzański;Kościelisko;Dzianisz;;271a;49.3252422;19.8742453
Słupskie Wodne Ochotnicze Pogotowie Ratunkowe;POMORSKIE;Słupsk;Słupsk;Słupsk;Szczecińska;99;54.4615324;17.0066762
OSP Szerzyny;MAŁOPOLSKIE;tarnowski;Szerzyny;Szerzyny;;294;49.8078742;21.245285
OSP Szynwałd;MAŁOPOLSKIE;tarnowski;Skrzyszów;Szynwałd;;8A;49.9724214;21.1177352
OSP Tuchów;MAŁOPOLSKIE;tarnowski;Tuchów;Tuchów;Jana III Sobieskiego;23-25;49.89563085;21.049400943015492
OSP Turza;MAŁOPOLSKIE;tarnowski;Rzepiennik Strzyżewski;Turza;;281;49.76639045;21.061960655673925
OSP Wielka Wieś TA;MAŁOPOLSKIE;tarnowski;Wojnicz;Wielka Wieś;;24;54.57007;17.35942
OSP Wierzchosławice;MAŁOPOLSKIE;tarnowski;Wierzchosławice;Wierzchosławice;;704;50.0200906;20.8451411
OSP Wietrzychowice;MAŁOPOLSKIE;tarnowski;Wietrzychowice;Wietrzychowice;;187;50.1898825;20.7591387
OSP Wojnicz;MAŁOPOLSKIE;tarnowski;Wojnicz;Wojnicz;;Długa 82;49.95935;20.83852
OSP Wola Rzędzińska;MAŁOPOLSKIE;tarnowski;Tarnów;Wola Rzędzińska;;265A;50.0463896;21.10538860384664
OSP Zabawa;MAŁOPOLSKIE;tarnowski;Radłów;Zabawa;;0;50.153091;23.673901
OSP Zakliczyn TA;MAŁOPOLSKIE;tarnowski;Zakliczyn;Zakliczyn;Browarki;7;49.856533850000005;20.809851065998245
OSP Zakrzów;MAŁOPOLSKIE;tarnowski;Wojnicz;Zakrzów;;1;50.2572509;18.1722334
OSP Zborowice;MAŁOPOLSKIE;tarnowski;Ciężkowice;Zborowice;;271;49.761705000000006;20.96728667813502
OSP Zgłobice;MAŁOPOLSKIE;tarnowski;Tarnów;Zgłobice;Zgłobicka;12;49.9743483;20.9038941
OSP Żabno;MAŁOPOLSKIE;tarnowski;Żabno;Żabno;Rynek;29;50.133837150000005;20.886047818159525
OSP Żurowa;MAŁOPOLSKIE;tarnowski;Szerzyny;Żurowa;;247;49.635;19.9277778
Posterunek Czasowy Siedliska;MAŁOPOLSKIE;tarnowski;Tuchów;Siedliska;;232A;50.642107;20.5824911
OSP Dłużec;MAŁOPOLSKIE;olkuski;Wolbrom;Dłużec;;BN;53.7617018;21.2417974
OSP Olkusz;MAŁOPOLSKIE;olkuski;Olkusz;Olkusz;Floriańska;5;50.2800907;19.5603767
Komenda Powiatowa Policji w Opolu Lubelskim;LUBELSKIE;opolski;Opole Lubelskie;Opole Lubelskie;Morwowa;4;51.1496046;21.969199089022823
Ochotnicza Straż Pożarna w Słupi;ŚWIĘTOKRZYSKIE;konecki;Słupia Konecka;Słupia;;30 A;52.2857953;16.6051733
Ochotnicza Straż Pożarna w Miedzierzy;ŚWIĘTOKRZYSKIE;konecki;Smyków;Miedzierza;;23;51.0788134;20.3936477
Ochotnicza Straż Pożarna w Węgrzynie;ŚWIĘTOKRZYSKIE;konecki;Radoszyce;Węgrzyn;;45;51.02712055;20.315233394862148
Ochotnicza Straż Pożarna w Wilczkowicach;ŚWIĘTOKRZYSKIE;konecki;Radoszyce;Wilczkowice;;32;50.1855741;19.9722686
Ochotnicza Straż Pożarna w Krasnej;ŚWIĘTOKRZYSKIE;konecki;Stąporków;Krasna;;53;50.931611;14.431388
Ochotnicza Straż Pożarna w Niekłaniu;ŚWIĘTOKRZYSKIE;konecki;Stąporków;Niekłań Wielki;Partyzantów;128;51.1813246;20.6186078
Ochotnicza Straż Pożarna w Odrowążu;ŚWIĘTOKRZYSKIE;konecki;Stąporków;Odrowąż;Kielecka;2;51.1331985;20.6481111
Ochotnicza Straż Pożarna w Gowarczowie;ŚWIĘTOKRZYSKIE;konecki;Gowarczów;Gowarczów;Warszawska;17;51.28075045;20.44082665948138
Ochotnicza Straż Pożarna w Rudzie Malenieckiej;ŚWIĘTOKRZYSKIE;konecki;Ruda Maleniecka;Ruda Maleniecka;;93;51.1466944;20.2211399
Ochotnicza Straż Pożarna w Kozowie;ŚWIĘTOKRZYSKIE;konecki;Smyków;Kozów;;52a;51.0568655;20.350992667895845
Oddział Prewencji Policji w Kielcach;ŚWIĘTOKRZYSKIE;Kielce;Kielce;Kielce;Janusza Kusocińskiego;51;50.8553032;20.602664012900377
Samodzielny Pododdział Kontterrorystyczny Policji w Kielcach;ŚWIĘTOKRZYSKIE;Kielce;Kielce;Kielce;Janusza Kusocińskiego;51;50.8553032;20.602664012900377
Komenda Powiatowa Policji w Kazimierzy Wielkiej;ŚWIĘTOKRZYSKIE;kazimierski;Kazimierza Wielka;Kazimierza Wielka;Aleja Parkowa;1;50.2661575;20.4902972
Komenda Powiatowa Policji w Pińczowie;ŚWIĘTOKRZYSKIE;pińczowski;Pińczów;Pińczów;Floriańska;4;50.5214832;20.5265821
Komenda Powiatowa Policji w Staszowie;ŚWIĘTOKRZYSKIE;staszowski;Staszów;Staszów;Armii Krajowej;10;50.5668654;21.166483214616406
Komenda Powiatowa Policji w Ostrowcu Świętokrzyskim;ŚWIĘTOKRZYSKIE;ostrowiecki;Ostrowiec Świętokrzyski;Ostrowiec Świętokrzyski;Aleja 3 Maja;9;50.9363211;21.387775038490826
Komenda Powiatowa Policji w Jędrzejowie;ŚWIĘTOKRZYSKIE;jędrzejowski;Jędrzejów;Jędrzejów;11 Listopada;78;50.645043;20.2961348
Komenda Powiatowa Policji we Włoszczowie;ŚWIĘTOKRZYSKIE;włoszczowski;Włoszczowa;Włoszczowa;Świeża;18;50.8519571;19.9638038
Komenda Powiatowa Policji w Sandomierzu;ŚWIĘTOKRZYSKIE;sandomierski;Sandomierz;Sandomierz;Adama Mickiewicza;30;50.68544395000001;21.741655082159436
Komenda Powiatowa Policji w Skarżysku Kamiennej;ŚWIĘTOKRZYSKIE;skarżyski;Skarżysko-Kamienna;Skarżysko-Kamienna;Szydłowiecka;22;51.12320545;20.885220320211168
Komenda Powiatowa Policji w Opatowie;ŚWIĘTOKRZYSKIE;opatowski;Opatów;Opatów;Henryka Sienkiewicza;30;50.7995853;21.4300257
Komenda Powiatowa Policji w Końskich;ŚWIĘTOKRZYSKIE;konecki;Końskie;Końskie;Łazienna;12;51.19241585;20.410096693954383
Komenda Powiatowa Policji w Busku Zdroju;ŚWIĘTOKRZYSKIE;buski;Busko-Zdrój;Busko-Zdrój;Adama Mickiewicza;19;50.46565325;20.720417331600558
Komenda Powiatowa Policji w Starachowicach;ŚWIĘTOKRZYSKIE;starachowicki;Starachowice;Starachowice;Armii Krajowej;27;51.05231235;21.074662182903765
Komenda Miejska Policji w Kielcach;ŚWIĘTOKRZYSKIE;Kielce;Kielce;Kielce;Wesoła;43;50.8670117;20.631126136010643
Komenda Wojewódzka Policji w Kielcach;ŚWIĘTOKRZYSKIE;Kielce;Kielce;Kielce;Seminaryjska;12;50.865218999999996;20.63435686351106
Ochotnicza Straż Pożarna w Gumienicach;ŚWIĘTOKRZYSKIE;kielecki;Pierzchnica;Gumienice;;17;50.68158;20.76884
Ochotnicza Straż Pożarna w Pierzchnicy;ŚWIĘTOKRZYSKIE;kielecki;Pierzchnica;Pierzchnica;Mickiewicza;1;50.69805;20.7501
Ochotnicza Straż Pożarna w Szumsku;ŚWIĘTOKRZYSKIE;kielecki;Raków;Szumsko;;37;50.7014083;21.0899255
Ochotnicza Straż Pożarna w Chańczy;ŚWIĘTOKRZYSKIE;kielecki;Raków;Chańcza;;59A;50.6453353;21.075691
Ochotnicza Straż Pożarna w Kowali;ŚWIĘTOKRZYSKIE;kielecki;Sitkówka-Nowiny;Kowala;;49;50.79884;20.57017
Ochotnicza Straż Pożarna w Woli Murowanej;ŚWIĘTOKRZYSKIE;kielecki;Sitkówka-Nowiny;Wola Murowana;;17c;50.7950292;20.532201345167135
Komenda Powiatowa Państwowej Straży Pożarnej w Starachowicach;ŚWIĘTOKRZYSKIE;starachowicki;Starachowice;Starachowice;Armii Krajowej;29;51.053036;21.0739873
Ochotnicza Straż Pożarna w Promniku;ŚWIĘTOKRZYSKIE;kielecki;Strawczyn;Promnik;Strażacka;4;50.9192203;20.4233083
Ochotnicza Straż Pożarna Brody;ŚWIĘTOKRZYSKIE;starachowicki;Brody;Brody;Radomska;35;51.0232053;21.2036009
Ochotnicza Straż Pożarna Krynki;ŚWIĘTOKRZYSKIE;starachowicki;Brody;Krynki;Długa;1;51.01176915;21.20809082142287
Ochotnicza Straż Pożarna w Strawczynie;ŚWIĘTOKRZYSKIE;kielecki;Strawczyn;Strawczyn;Sportowa;2;50.9433922;20.4198331
Ochotnicza Straż Pożarna Lubienia;ŚWIĘTOKRZYSKIE;starachowicki;Brody;Lubienia;Wschodnia;2;51.05287235;21.19134435
Ochotnicza Straż Pożarna Mirzec;ŚWIĘTOKRZYSKIE;starachowicki;Mirzec;Mirzec;;1;51.1362408;21.0570374
Ochotnicza Straż Pożarna Ostrożanka;ŚWIĘTOKRZYSKIE;starachowicki;Mirzec;Ostrożanka;;32;51.1196341;21.1178089
Ochotnicza Straż Pożarna w Zagnańsku;ŚWIĘTOKRZYSKIE;kielecki;Zagnańsk;Chrusty;;42;50.968770750000004;20.678676350000003
Ochotnicza Straż Pożarna Osiny;ŚWIĘTOKRZYSKIE;starachowicki;Mirzec;Osiny;;10;52.16779;21.61269
Ochotnicza Straż Pożarna Gadka;ŚWIĘTOKRZYSKIE;starachowicki;Mirzec;Gadka;;100;51.13509965;21.00448995
Ochotnicza Straż Pożarna Pawłów;ŚWIĘTOKRZYSKIE;starachowicki;Pawłów;Pawłów;;48;50.094587149999995;18.731374019937682
Ochotnicza Straż Pożarna Ambrożów;ŚWIĘTOKRZYSKIE;starachowicki;Pawłów;Ambrożów;;57a;50.9391851;21.1120086
Ochotnicza Straż Pożarna Brzezie;ŚWIĘTOKRZYSKIE;starachowicki;Pawłów;Brzezie;;28;52.38533915;18.62698430959084
Ochotnicza Straż Pożarna Kałków;ŚWIĘTOKRZYSKIE;starachowicki;Pawłów;Kałków;;37a;50.404811;17.189654609502092
Ochotnicza Straż Pożarna Wąchock;ŚWIĘTOKRZYSKIE;starachowicki;Wąchock;Wąchock;Kościelna;7a;51.0747384;21.0136297
Ochotnicza Straż Pożarna Wielka Wieś;ŚWIĘTOKRZYSKIE;starachowicki;Wąchock;Wielka Wieś;;388;51.0653052;20.97293028889235
Ochotnicza Straż Pożarna Starachowice os.Michałów;ŚWIĘTOKRZYSKIE;starachowicki;Starachowice;Starachowice;Ostrowiecka;127;51.009827599999994;21.1031510075983
Ochotnicza Straż Pożarna Tychów Stary;ŚWIĘTOKRZYSKIE;starachowicki;Mirzec;Tychów Stary;;17;51.1238181;21.0938935
KOMENDA POWIATOWA PAŃSTWOWEJ STRAŻY POŻARNEJ W CHEŁMNIE;KUJAWSKO-POMORSKIE;chełmiński;Chełmno;Chełmno;Łunawska;3A;53.351416900000004;18.448330419181932
WODNE OCHOTNICZE POGOTOWIE RATUNKOWE WOJEWÓDZTWA LUBUSKIEGO;LUBUSKIE;Zielona Góra;Zielona Góra;Zielona Góra;Kazimierza Lisowskiego;1;51.9390758;15.5036905
Ratownictwo Wodne Sława;LUBUSKIE;wschowski;Sława;Sława;Odrodzonego Wojska Polskiego;23;51.8823606;16.0515531
Andrzej Panufnik Centrum Ratownictwa RESCUE;LUBUSKIE;Zielona Góra;Zielona Góra;Zielona Góra;Ul. Węgierska;8;51.9358352;15.476074302090911
Ochotnicza Straż Pożarna w Ryjewie;POMORSKIE;kwidzyński;Ryjewo;Ryjewo;Grunwaldzka;70;53.8448587;18.9615942
MULTIGRUPA Sp. z o.o.;DOLNOŚLĄSKIE;Wrocław;Wrocław-Stare Miasto;Wrocław;Tadeusza Kościuszki;13;51.1030959;17.0281626
Ochotnicza Straż Pożarna w Gardei;POMORSKIE;kwidzyński;Gardeja;Gardeja;Sportowa;7;53.61379895;18.950150919727903
Ochotnicza Straż Pożarna w Prabutach;POMORSKIE;kwidzyński;Prabuty;Prabuty;Władysława Stanisława Reymonta;4;53.75657165;19.196520592190367
Ochotnicza Straż Pożarna w Sadlinkach;POMORSKIE;kwidzyński;Sadlinki;Sadlinki;Kwidzyńska;21;53.6661024;18.87483505
Ochotnicza Straż Pożarna w Tychnowach;POMORSKIE;kwidzyński;Kwidzyn;Tychnowy;Kwidzyńska;3;53.77955375;18.95714607146305
Ochotnicza Straż Pożarna w Rakowcu;POMORSKIE;kwidzyński;Kwidzyn;Rakowiec;Szkolna;1;53.727049;19.0245141
Fundacja D.T.SPORT;WIELKOPOLSKIE;Leszno;Leszno;Leszno;Średnia;16;51.84445225;16.572104463448106
Ochotnicza Straż Pożarna w Pastwie;POMORSKIE;kwidzyński;Kwidzyn;Pastwa;;25;53.8031487;18.8727604
Podhale Rescue Team F.U. Kowalski Marcin;MAŁOPOLSKIE;tatrzański;Kościelisko;Kościelisko;Pod Blachówką;52;49.294587199999995;19.912922679221705
KP PSP Mogilno;KUJAWSKO-POMORSKIE;mogileński;Mogilno;Mogilno;900-lecia;3;52.6587536;17.9558845
OSP Ostrowo;KUJAWSKO-POMORSKIE;mogileński;Strzelno;;;18;35.6986239;139.6366261
OSP Strzelno;KUJAWSKO-POMORSKIE;mogileński;Strzelno;Strzelno;Sportowa;8;52.6266215;18.171032099999998
OSP Dąbrowa;KUJAWSKO-POMORSKIE;mogileński;Dąbrowa;Dąbrowa;Kasztanowa;16;52.7451384;17.9472309
Ochotnicza Straż Pożarna w Gębicach;KUJAWSKO-POMORSKIE;mogileński;;Gębice;Wolności;10;52.5999633;18.0416191
OSP jeziora Wielkie;KUJAWSKO-POMORSKIE;mogileński;Jeziora Wielkie;Jeziora Wielkie;;98;52.5296597;18.2730997
OSP Wójcin;KUJAWSKO-POMORSKIE;mogileński;Jeziora Wielkie;Wójcin;;142;52.5215751;18.1829994
Ochotnicza Straż Pożarna w Podwiesku;KUJAWSKO-POMORSKIE;chełmiński;Chełmno;Podwiesk;;20c;53.3965183;18.567288
Ochotnicza Straż Pożarna w Bieńkówce;KUJAWSKO-POMORSKIE;chełmiński;Chełmno;Bieńkówka;;0;53.30867;18.34322
Ochotnicza Straż Pożarna w Nowejwsi Chełmińskiej;KUJAWSKO-POMORSKIE;chełmiński;Chełmno;Nowawieś Chełmińska;;11a;53.370527100000004;18.55112685000001
Ochotnicza Straż Pożarna w Lisewie;KUJAWSKO-POMORSKIE;chełmiński;Lisewo;Lisewo;Generała Józefa Hallera;33;53.2962012;18.6895122
Ochotnicza Straż Pożarna w Lipienku;KUJAWSKO-POMORSKIE;chełmiński;Lisewo;Lipienek;;0;53.2669655;18.6575398
Ochotnicza Straż Pożarna w Kijewie Królewskim;KUJAWSKO-POMORSKIE;chełmiński;Kijewo Królewskie;Kijewo Królewskie;Chełmińska;9b;53.27513;18.4432
Ochotnicza Straż Pożarna w Brzozowie;KUJAWSKO-POMORSKIE;chełmiński;Kijewo Królewskie;Brzozowo;;72;53.73712;15.19083
Ochotnicza Straż Pożarna w Kokocku;KUJAWSKO-POMORSKIE;chełmiński;Unisław;Kokocko;;0;50.4169724;16.4203772
Ochotnicza Straż Pożarna w Unisławiu;KUJAWSKO-POMORSKIE;chełmiński;Unisław;Unisław;Parkowa;27;53.2093996;18.3807318
Ochotnicza Straż Pożarna w Grzybnie;KUJAWSKO-POMORSKIE;chełmiński;Unisław;Grzybno;;57;52.16082;16.83199
Ochotnicza Straż Pożarna w Robakowie;KUJAWSKO-POMORSKIE;chełmiński;Stolno;Robakowo;;0;54.55849;18.15504
Ochotnicza Straż Pożarna w Rybieńcu;KUJAWSKO-POMORSKIE;chełmiński;Stolno;Rybieniec;;50a;53.3374854;18.5110853
Ochotnicza Straż Pożarna w Papowie Biskupim;KUJAWSKO-POMORSKIE;chełmiński;Papowo Biskupie;Papowo Biskupie;;0;53.2495428;18.5640434
OSP Miłobądz;POMORSKIE;tczewski;Tczew;Miłobądz;Pamięci Narodowej;9;54.1348958;18.7218814
OSP Turze;POMORSKIE;tczewski;Tczew;Turze;Parkowa;13;54.0946884;18.6253401
OSP Gniszewo;POMORSKIE;tczewski;Tczew;Gniszewo;Bursztynowa;12;54.0464238;18.7362261
OSP Subkowy;POMORSKIE;tczewski;Subkowy;Subkowy;Sportowa;1B;54.0022073;18.765504149999998
OSP Swarożyn;POMORSKIE;tczewski;Tczew;Swarożyn;Piastowska;25;54.0393063;18.6645387
OSP Gniew;POMORSKIE;tczewski;Gniew;Gniew;Kościuszki;6;53.8351173;18.82148985
OSP Opalenie;POMORSKIE;tczewski;Gniew;Opalenie;św. Krzysztofa;2;53.74505;18.82211
OSP Kolonia Ostrowicka;POMORSKIE;tczewski;Gniew;Kolonia Ostrowicka;;53;53.73582;18.73901
OSP Tczew;POMORSKIE;tczewski;Tczew;Tczew;Lecha;10;54.088;18.79274
