nazwa;wojewodztwo;powiat;gmina;miejscowosc;ulica;budynek;latitude;longitude
OSP KSRG Mątwica;PODLASKIE;łomżyński;Nowogród;Mątwica;;76;53.21771165;21.92354087685117
OSP KSRG DOWNARY;PODLASKIE;moniecki;Goniądz;Downary;;30;53.4386338;22.6882991
OSP Sieniewice;PODLASKIE;siemiatycki;Drohiczyn;Sieniewice;;67;52.4333691;22.654753865561897
JRG  KP PSP SEJNY;PODLASKIE;sejneński;Sejny;Sejny;Strażacka;2;54.1072423;23.3512538
Posterunek JRG KP PSP w Sokółce;PODLASKIE;sokólski;Dąbrowa Białostocka;Dąbrowa Białostocka;Tysiąclecia Państwa Polskiego;23;53.652513049999996;23.353992899999998
Ochotnicza Straż Pożarna w Dawidach;MAZOWIECKIE;pruszkowski;Raszyn;Dawidy;;45;51.74261975;23.02960524494638
OSP KSRG Nowogród;PODLASKIE;łomżyński;Nowogród;Nowogród;Łomżyńska;11;53.2276874;21.8817600279855
OSP LISOWO;PODLASKIE;siemiatycki;Drohiczyn;Lisowo;;26;52.4636691;22.629459
OSP KSRG Jeziorko;PODLASKIE;łomżyński;Piątnica;Jeziorko;;38;50.0881504;20.1468712
OSP KSRG Kalinowo;PODLASKIE;łomżyński;Piątnica;Kalinowo;;43A;53.17182255;22.12670892755056
OSP Kórnica;OPOLSKIE;krapkowicki;Krapkowice;Kórnica;Główna;96;50.4008733;17.910463319918186
OSP KSRG Stawiski;PODLASKIE;kolneński;Stawiski;Stawiski;Strażacka;9;53.36066;22.07013
OSP Rogów Opolski;OPOLSKIE;krapkowicki;Krapkowice;Rogów Opolski;Parkowa;2;50.516904;17.936937789841117
OSP KSRG Piątnica;PODLASKIE;łomżyński;Piątnica;Piątnica Poduchowna;Szkolna;23;53.193899650000006;22.096920148168437
OSP Filipów;PODLASKIE;suwalski;Filipów;Filipów;Garbaska;2;54.1788351;22.6201114
OSP Bakałarzewo;PODLASKIE;suwalski;Bakałarzewo;Bakałarzewo;Młyńska;11;54.0946182;22.6489378
OSP Jeleniewo;PODLASKIE;suwalski;Jeleniewo;Jeleniewo;Parkowa;5;54.2069025;22.9127678
Posterunek JRG Suwałki;PODLASKIE;Suwałki;Suwałki;Suwałki;Generała Kazimierza Pułaskiego;73;54.1180656;22.936012400243875
OSP KSRG Przytuły;PODLASKIE;łomżyński;Przytuły;Przytuły;Lipowa;1;53.3674457;22.30913469989834
JRG Suwałki;PODLASKIE;Suwałki;Suwałki;Suwałki;Adama Mickiewicza;15;54.0984752;22.924775095979484
OSP OGRODNIKI;PODLASKIE;sejneński;Sejny;Ogrodniki;;6;53.19139;23.0509
OSP KSRG Olsza;PODLASKIE;sokólski;Dąbrowa Białostocka;Olsza;;10;51.536902850000004;17.066292904792085
OSP Łowkowice;OPOLSKIE;krapkowicki;Strzeleczki;Łowkowice;Wiejska;68;50.43372195;17.893613896472843
OSP Kaletnik;PODLASKIE;suwalski;Szypliszki;Kaletnik;;52;54.1751081;23.08524654957172
OSP Nowa Wieś;PODLASKIE;suwalski;Suwałki;Nowa Wieś;;10;52.35714;21.2338
OSP KSRG Turośl;PODLASKIE;kolneński;Turośl;Turośl;Jana Pawła II;49;53.3854291;21.729233
OSP Strzeleczki;OPOLSKIE;krapkowicki;Strzeleczki;Strzeleczki;Dworcowa;3a;50.457268600000006;17.854578521109893
OSP Raczki;PODLASKIE;suwalski;Raczki;Raczki;Plac Kościuszki;32;53.98900175;22.781208488994693
OSP Przerośl;PODLASKIE;suwalski;Przerośl;Przerośl;Suwalska;1B;54.25084765;22.66128759071154
OSP KSRG Szczepankowo;PODLASKIE;łomżyński;Śniadowo;Szczepankowo;;21;52.3723765;16.9938104
OSP Potasznia;PODLASKIE;suwalski;Suwałki;Potasznia;;21B;54.1488304;22.8620356
OSP JASIONÓWKA;PODLASKIE;moniecki;Jasionówka;Jasionówka;;7;53.64582;23.34997
OSP Wiżajny;PODLASKIE;suwalski;Wiżajny;Wiżajny;Wierzbołowska;3;54.367296;22.8649628
OSP Stradunia;OPOLSKIE;krapkowicki;Walce;Stradunia;Opolska;31;50.410039;18.0512592
OSP Szypliszki;PODLASKIE;suwalski;Szypliszki;Szypliszki;Suwalska;21;54.251968;23.0742938
OSP Rutka-Tartak;PODLASKIE;suwalski;Rutka-Tartak;Rutka-Tartak;Szkolna;1;54.32549135;22.969030921118485
OSP KSRG Śniadowo;PODLASKIE;łomżyński;Śniadowo;Śniadowo;Ostrołęcka;13;53.0393221;21.986462603584762
OSP Kamień Śląski;OPOLSKIE;krapkowicki;Gogolin;Kamień Śląski;Plac Myśliwca;5;50.5395354;18.076172762270197
OSP KSRG Bronowo;PODLASKIE;łomżyński;Wizna;Bronowo;Mostowa;5;53.1517355;22.3122906
JRG KP PSP w Grajewie;PODLASKIE;grajewski;Grajewo;Grajewo;Wojska Polskiego;74;53.6400072;22.469616347502587
osp Grodzisk;PODLASKIE;siemiatycki;Grodzisk;Grodzisk;;6;52.0689594;22.4162841
OSP KSRG Zubrzyca Wielka;PODLASKIE;sokólski;Szudziałowo;Zubrzyca Wielka;;14a;53.389167;23.715591646319417
OSP KSRG Stare Bożejewo;PODLASKIE;łomżyński;Wizna;Stare Bożejewo;;51A;53.1895186;22.2918769
OSP KSRG Zabiele;PODLASKIE;kolneński;Kolno;Zabiele;;165;53.3885203;21.8642611
OSP Obrowiec;OPOLSKIE;krapkowicki;Gogolin;Obrowiec;Łąkowa;1;50.4591221;18.0249929
OSP SMOLANY;PODLASKIE;sejneński;Puńsk;Smolany;;2;54.18474215;23.197574247363523
OSP Jasiona;OPOLSKIE;krapkowicki;Zdzieszowice;Jasiona;Główna;25a;50.463736350000005;18.10095742349446
OSP KSRG Kuzie;PODLASKIE;łomżyński;Zbójna;Kuzie;;92;53.3008;21.66809
OSP Stadniki;PODLASKIE;siemiatycki;Grodzisk;Stadniki;;3;52.52399;22.72136
OSP Żyrowa;OPOLSKIE;krapkowicki;Zdzieszowice;Żyrowa;Wojska Polskiego;14;50.44939755;18.126174856090685
OSP KSRG Szudziałowo;PODLASKIE;sokólski;Szudziałowo;Szudziałowo;Szkolna;2;53.2996687;23.6558652
OSP GIBY;PODLASKIE;sejneński;Giby;Giby;;74A;54.04021645;23.354348336255534
OSP KSRG Zbójna;PODLASKIE;łomżyński;Zbójna;Zbójna;Łomżyńska;44;53.2428012;21.7908103
OSP Dziadkowice;PODLASKIE;siemiatycki;Dziadkowice;Dziadkowice;;31;52.5653698;22.907546169434873
OSP JAŚWIŁY;PODLASKIE;moniecki;Jaświły;Jaświły;;7;53.47385485;22.955724271585115
Komenda Powiatowa Państwowej Straży Pożarnej w Tucholi;KUJAWSKO-POMORSKIE;tucholski;Tuchola;Tuchola;Sępoleńska;20;53.5869216;17.856872645339912
OSP Dołubowo;PODLASKIE;siemiatycki;Dziadkowice;Dołubowo;;34;52.60860955;22.876376758333333
OSP KSRG Suchowola;PODLASKIE;sokólski;Suchowola;Suchowola;Plac Kościuszki;7;53.5794054;23.1068009
OSP Milejczyce;PODLASKIE;siemiatycki;Milejczyce;Milejczyce;;44;52.5196328;23.1323821
OSP ZABIELE;PODLASKIE;moniecki;Jaświły;Zabiele;;36;49.8919779;19.0287197
OSP Perlejewo;PODLASKIE;siemiatycki;Perlejewo;Perlejewo;;23a;52.5635618;22.56441501447368
OSP Aleksandrów Łódzki;ŁÓDZKIE;zgierski;Aleksandrów Łódzki;Aleksandrów Łódzki;11 Listopada;9;51.818093649999994;19.30279417137558
OSP BERŻNIKI;PODLASKIE;sejneński;Sejny;Berżniki;;39;54.0815102;23.4642835
OSP KNYSZYN;PODLASKIE;moniecki;Knyszyn;Knyszyn;Rynek;30;53.313610249999996;22.91915193086956
Ochotnicza Straż Pożarna w Śwunoujściu-Karsibór;ZACHODNIOPOMORSKIE;Świnoujście;Świnoujście;Świnoujście;1 Maja;34a;53.8542611;14.308071069676707
Ochotnicza Straż Pożarna w Śwunoujściu-Przytór;ZACHODNIOPOMORSKIE;Świnoujście;Świnoujście;Świnoujście;Zalewowa;40c;53.884313500000005;14.342587390545628
